Name of Painter,Subject of Painting,Style,Medium,Size,Frame,Location,Price ($),Delivery (days),Shipment,Color Palette,Copy or Original,Print or Real,Recommended Environment,Mood/Atmosphere,Theme/Lighting Requirements,Reproduction Type,Target Audience,Date
Noah,Seascape,Realism,Oil,"30""x40""",No,Vancouver,731,6,Free Shipping,Earthy Tones,Original,Print,Gallery,Energetic,Natural Light,Giclée,Young Professionals,2023-01-29
Olivia,Portrait,Surrealism,Charcoal,"16""x20""",Yes,Vancouver,404,4,Free Shipping,Earthy Tones,Original,Real,Kid Room,Joyful,Bright Light,Fine Art Print,Interior Designers,2023-01-30
Frida,Abstract,Cubism,Watercolor,"16""x20""",Yes,Calgary,396,8,Express,Earthy Tones,Original,Real,Office,Energetic,Bright Light,Giclée,Corporate Clients,2023-01-31
Liam,Fantasy,Modern,Oil,"18""x24""",No,Montreal,913,3,Express,Oceanic Tones,Original,Real,Bedroom,Energetic,Natural Light,,Families,2023-02-01
Frida,Landscape,Modern,Watercolor,"30""x40""",Yes,Miami,245,5,Express,Neutral Tones,Copy,Print,Office,Relaxing,Dim Light,Screen Print,Families,2023-02-02
Frida,Still Life,Cubism,Acrylic,"24""x36""",No,Calgary,644,6,Standard,Warm Tones,Copy,Real,Kid Room,Reflective,Bright Light,Lithograph,Corporate Clients,2023-02-03
Leonardo,Still Life,Modern,Charcoal,"18""x24""",Yes,New York,704,5,Free Shipping,Oceanic Tones,Original,Print,Living Room,Reflective,Bright Light,,Art Collectors,2023-02-04
Noah,Portrait,Realism,Charcoal,"18""x24""",Yes,Toronto,938,3,Free Shipping,Oceanic Tones,Copy,Real,Office,Calming,Bright Light,Giclée,Interior Designers,2023-02-05
Jija,Abstract,Surrealism,Watercolor,"30""x40""",No,Montreal,576,9,Express,Warm Tones,Copy,Real,Office,Relaxing,Bright Light,Screen Print,Young Professionals,2023-02-06
Emma,Still Life,Surrealism,Mixed Media,"20""x30""",No,Los Angeles,308,4,Express,Oceanic Tones,Copy,Print,Office,Joyful,Dim Light,,Young Professionals,2023-02-07
Ava,Portrait,Realism,Mixed Media,"16""x20""",No,Calgary,704,3,Express,Cool Tones,Original,Print,Bedroom,Relaxing,Bright Light,Lithograph,Families,2023-02-08
Claude,Still Life,Cubism,Watercolor,"20""x30""",Yes,New York,352,9,Standard,Oceanic Tones,Original,Print,Bedroom,Calming,Natural Light,Giclée,Interior Designers,2023-02-09
Claude,Seascape,Surrealism,Watercolor,"30""x40""",No,Montreal,938,7,Standard,Earthy Tones,Copy,Real,Living Room,Reflective,Natural Light,Giclée,Interior Designers,2023-02-10
Liam,Still Life,Surrealism,Charcoal,"18""x24""",Yes,Los Angeles,794,6,Free Shipping,Warm Tones,Original,Print,Living Room,Relaxing,Bright Light,,Art Collectors,2023-02-11
Noah,Portrait,Surrealism,Watercolor,"18""x24""",No,New York,245,7,Standard,Neutral Tones,Copy,Real,Kid Room,Reflective,Dim Light,Screen Print,Art Collectors,2023-02-12
Frida,Wildlife,Abstract Expressionism,Charcoal,"20""x30""",Yes,Los Angeles,623,6,Express,Warm Tones,Original,Real,Office,Reflective,Bright Light,Screen Print,Art Collectors,2023-02-13
Claude,Wildlife,Surrealism,Charcoal,"16""x20""",No,Calgary,640,7,Standard,Warm Tones,Original,Print,Bedroom,Relaxing,Natural Light,Giclée,Interior Designers,2023-02-14
Liam,Landscape,Cubism,Acrylic,"30""x40""",No,Chicago,640,7,Express,Neutral Tones,Original,Real,Living Room,Energetic,Dim Light,Screen Print,Interior Designers,2023-02-15
Olivia,Still Life,Abstract Expressionism,Watercolor,"24""x36""",Yes,Chicago,848,8,Standard,Warm Tones,Copy,Real,Office,Calming,Dim Light,Screen Print,Interior Designers,2023-02-16
Liam,Fantasy,Realism,Charcoal,"16""x20""",Yes,Vancouver,581,3,Free Shipping,Warm Tones,Copy,Print,Office,Relaxing,Bright Light,Screen Print,Young Professionals,2023-02-17
Emma,Landscape,Abstract Expressionism,Oil,"30""x40""",No,Calgary,683,5,Express,Warm Tones,Original,Print,Kid Room,Reflective,Natural Light,Screen Print,Young Professionals,2023-02-18
Pablo,Fantasy,Realism,Charcoal,"20""x30""",No,Miami,683,7,Standard,Oceanic Tones,Copy,Print,Kid Room,Reflective,Dim Light,,Families,2023-02-19
Vincent,Portrait,Cubism,Watercolor,"20""x30""",Yes,New York,657,3,Free Shipping,Neutral Tones,Copy,Print,Gallery,Relaxing,Natural Light,Screen Print,Families,2023-02-20
Vincent,Landscape,Impressionism,Oil,"20""x30""",No,Miami,857,4,Express,Oceanic Tones,Original,Real,Bedroom,Joyful,Dim Light,Giclée,Art Collectors,2023-02-21
Pablo,Portrait,Surrealism,Watercolor,"30""x40""",Yes,Montreal,704,8,Standard,Neutral Tones,Original,Real,Office,Joyful,Dim Light,Giclée,Families,2023-02-22
Ava,Wildlife,Abstract Expressionism,Oil,"30""x40""",No,New York,640,9,Express,Neutral Tones,Copy,Print,Kid Room,Relaxing,Bright Light,Lithograph,Young Professionals,2023-02-23
Liam,Abstract,Surrealism,Mixed Media,"24""x36""",No,Montreal,505,6,Standard,Cool Tones,Copy,Print,Gallery,Relaxing,Bright Light,Lithograph,Young Professionals,2023-02-24
Liam,Fantasy,Surrealism,Acrylic,"20""x30""",No,Montreal,127,3,Standard,Oceanic Tones,Original,Real,Bedroom,Relaxing,Bright Light,Giclée,Interior Designers,2023-02-25
Olivia,Landscape,Modern,Mixed Media,"20""x30""",Yes,Los Angeles,891,6,Free Shipping,Earthy Tones,Copy,Real,Office,Relaxing,Natural Light,,Families,2023-02-26
Liam,Still Life,Cubism,Acrylic,"24""x36""",No,Vancouver,699,9,Standard,Oceanic Tones,Copy,Real,Kid Room,Reflective,Natural Light,Lithograph,Young Professionals,2023-02-27
Frida,Portrait,Modern,Charcoal,"20""x30""",No,Los Angeles,245,9,Express,Cool Tones,Copy,Real,Gallery,Calming,Bright Light,Lithograph,Young Professionals,2023-02-28
Ava,Seascape,Realism,Mixed Media,"30""x40""",No,Miami,469,4,Free Shipping,Warm Tones,Copy,Print,Bedroom,Energetic,Dim Light,Screen Print,Families,2023-03-01
Vincent,Landscape,Surrealism,Charcoal,"24""x36""",No,Calgary,231,10,Free Shipping,Cool Tones,Original,Print,Kid Room,Joyful,Dim Light,Screen Print,Families,2023-03-02
Olivia,Seascape,Impressionism,Mixed Media,"24""x36""",No,Toronto,558,7,Standard,Cool Tones,Copy,Real,Kid Room,Energetic,Natural Light,,Families,2023-03-03
Ava,Portrait,Abstract Expressionism,Acrylic,"16""x20""",Yes,Miami,384,3,Express,Neutral Tones,Copy,Real,Kid Room,Energetic,Dim Light,Fine Art Print,Interior Designers,2023-03-04
Pablo,Seascape,Modern,Charcoal,"16""x20""",Yes,Toronto,649,6,Free Shipping,Cool Tones,Copy,Print,Office,Energetic,Natural Light,Lithograph,Art Collectors,2023-03-05
Noah,Still Life,Abstract Expressionism,Mixed Media,"18""x24""",Yes,Montreal,299,4,Express,Warm Tones,Copy,Real,Gallery,Relaxing,Natural Light,Lithograph,Interior Designers,2023-03-06
Emma,Landscape,Surrealism,Charcoal,"24""x36""",No,Calgary,225,5,Standard,Earthy Tones,Copy,Real,Bedroom,Joyful,Natural Light,Lithograph,Interior Designers,2023-03-07
Jija,Fantasy,Abstract Expressionism,Watercolor,"24""x36""",No,Montreal,469,3,Standard,Warm Tones,Original,Print,Office,Reflective,Bright Light,Lithograph,Families,2023-03-08
Pablo,Seascape,Surrealism,Oil,"18""x24""",No,Toronto,127,10,Free Shipping,Warm Tones,Copy,Print,Kid Room,Joyful,Dim Light,Fine Art Print,Art Collectors,2023-03-09
Vincent,Landscape,Modern,Watercolor,"30""x40""",Yes,Miami,848,7,Free Shipping,Oceanic Tones,Original,Real,Gallery,Joyful,Natural Light,Lithograph,Corporate Clients,2023-03-10
Leonardo,Abstract,Realism,Watercolor,"30""x40""",No,Los Angeles,413,3,Express,Earthy Tones,Original,Print,Living Room,Calming,Dim Light,Screen Print,Young Professionals,2023-03-11
Olivia,Wildlife,Abstract Expressionism,Mixed Media,"20""x30""",No,Vancouver,707,5,Standard,Oceanic Tones,Original,Real,Gallery,Calming,Bright Light,Screen Print,Interior Designers,2023-03-12
Noah,Portrait,Abstract Expressionism,Watercolor,"20""x30""",No,Vancouver,290,6,Free Shipping,Cool Tones,Original,Real,Office,Reflective,Natural Light,Giclée,Families,2023-03-13
Vincent,Abstract,Modern,Watercolor,"24""x36""",No,Toronto,649,3,Express,Earthy Tones,Original,Print,Kid Room,Reflective,Dim Light,Screen Print,Corporate Clients,2023-03-14
Olivia,Portrait,Surrealism,Oil,"20""x30""",Yes,Los Angeles,348,7,Standard,Neutral Tones,Original,Print,Living Room,Reflective,Natural Light,Giclée,Young Professionals,2023-03-15
Noah,Abstract,Impressionism,Mixed Media,"20""x30""",No,Calgary,715,4,Express,Cool Tones,Copy,Print,Office,Energetic,Bright Light,,Families,2023-03-16
Jija,Seascape,Impressionism,Watercolor,"20""x30""",Yes,Montreal,707,8,Free Shipping,Earthy Tones,Original,Real,Kid Room,Joyful,Bright Light,Screen Print,Art Collectors,2023-03-17
Olivia,Portrait,Cubism,Acrylic,"18""x24""",No,Los Angeles,785,8,Express,Warm Tones,Original,Real,Gallery,Reflective,Natural Light,Lithograph,Families,2023-03-18
Ava,Portrait,Surrealism,Oil,"20""x30""",No,Calgary,516,3,Standard,Cool Tones,Original,Real,Office,Reflective,Bright Light,Lithograph,Corporate Clients,2023-03-19
Emma,Seascape,Realism,Charcoal,"30""x40""",No,Vancouver,657,8,Express,Earthy Tones,Original,Print,Office,Relaxing,Dim Light,Lithograph,Young Professionals,2023-03-20
Jija,Abstract,Surrealism,Watercolor,"24""x36""",No,Montreal,794,10,Free Shipping,Warm Tones,Original,Real,Gallery,Reflective,Bright Light,Screen Print,Interior Designers,2023-03-21
Emma,Seascape,Modern,Watercolor,"30""x40""",Yes,Los Angeles,149,6,Standard,Warm Tones,Copy,Real,Bedroom,Calming,Bright Light,Lithograph,Art Collectors,2023-03-22
Liam,Portrait,Surrealism,Mixed Media,"20""x30""",No,Vancouver,854,3,Express,Neutral Tones,Copy,Real,Kid Room,Joyful,Natural Light,Lithograph,Interior Designers,2023-03-23
Leonardo,Abstract,Surrealism,Oil,"20""x30""",No,New York,875,8,Standard,Warm Tones,Copy,Real,Kid Room,Reflective,Bright Light,,Interior Designers,2023-03-24
Vincent,Abstract,Modern,Oil,"18""x24""",Yes,Vancouver,459,4,Free Shipping,Cool Tones,Original,Real,Living Room,Calming,Natural Light,Lithograph,Young Professionals,2023-03-25
Pablo,Landscape,Abstract Expressionism,Oil,"30""x40""",No,New York,657,8,Free Shipping,Neutral Tones,Original,Print,Bedroom,Joyful,Natural Light,Giclée,Young Professionals,2023-03-26
Jija,Seascape,Realism,Watercolor,"24""x36""",Yes,Montreal,782,8,Free Shipping,Cool Tones,Copy,Print,Kid Room,Energetic,Bright Light,,Corporate Clients,2023-03-27
Noah,Wildlife,Impressionism,Watercolor,"30""x40""",No,Montreal,816,3,Express,Neutral Tones,Copy,Print,Gallery,Calming,Natural Light,Giclée,Families,2023-03-28
Emma,Fantasy,Surrealism,Watercolor,"20""x30""",No,Calgary,294,3,Express,Earthy Tones,Original,Real,Office,Calming,Dim Light,,Corporate Clients,2023-03-29
Jija,Seascape,Realism,Watercolor,"20""x30""",Yes,Montreal,746,9,Free Shipping,Earthy Tones,Copy,Print,Office,Relaxing,Dim Light,Giclée,Corporate Clients,2023-03-30
Olivia,Abstract,Surrealism,Acrylic,"20""x30""",No,New York,231,7,Free Shipping,Warm Tones,Copy,Print,Office,Energetic,Natural Light,Giclée,Interior Designers,2023-03-31
Noah,Abstract,Abstract Expressionism,Oil,"30""x40""",Yes,Chicago,909,4,Free Shipping,Neutral Tones,Copy,Print,Bedroom,Joyful,Dim Light,Giclée,Art Collectors,2023-04-01
Jija,Wildlife,Cubism,Watercolor,"24""x36""",Yes,Montreal,640,7,Standard,Oceanic Tones,Original,Real,Living Room,Relaxing,Natural Light,Giclée,Corporate Clients,2023-04-02
Emma,Seascape,Surrealism,Oil,"20""x30""",No,Los Angeles,746,4,Express,Oceanic Tones,Copy,Real,Office,Calming,Dim Light,Screen Print,Interior Designers,2023-04-03
Ava,Still Life,Realism,Oil,"24""x36""",Yes,Vancouver,348,10,Standard,Oceanic Tones,Copy,Print,Gallery,Energetic,Natural Light,Giclée,Corporate Clients,2023-04-04
Claude,Still Life,Modern,Charcoal,"24""x36""",No,Calgary,875,6,Standard,Cool Tones,Copy,Print,Office,Relaxing,Bright Light,Lithograph,Young Professionals,2023-04-05
Jija,Still Life,Surrealism,Watercolor,"24""x36""",No,Montreal,640,10,Express,Oceanic Tones,Copy,Print,Gallery,Joyful,Bright Light,Giclée,Corporate Clients,2023-04-06
Jija,Seascape,Realism,Watercolor,"24""x36""",No,Montreal,452,4,Standard,Cool Tones,Original,Real,Gallery,Calming,Bright Light,Screen Print,Families,2023-04-07
Liam,Fantasy,Modern,Mixed Media,"30""x40""",Yes,Vancouver,157,8,Free Shipping,Cool Tones,Copy,Print,Kid Room,Joyful,Bright Light,Screen Print,Art Collectors,2023-04-08
Noah,Portrait,Realism,Mixed Media,"30""x40""",Yes,New York,205,10,Free Shipping,Oceanic Tones,Original,Print,Office,Relaxing,Dim Light,Giclée,Art Collectors,2023-04-09
Olivia,Fantasy,Realism,Oil,"16""x20""",Yes,New York,848,7,Express,Neutral Tones,Copy,Print,Kid Room,Relaxing,Natural Light,Fine Art Print,Young Professionals,2023-04-10
Pablo,Fantasy,Cubism,Charcoal,"16""x20""",No,Miami,868,6,Express,Warm Tones,Original,Print,Office,Joyful,Dim Light,,Young Professionals,2023-04-11
Vincent,Wildlife,Realism,Mixed Media,"24""x36""",No,Calgary,696,7,Express,Earthy Tones,Copy,Print,Office,Reflective,Bright Light,Giclée,Young Professionals,2023-04-12
Frida,Wildlife,Abstract Expressionism,Mixed Media,"20""x30""",No,Calgary,657,8,Express,Oceanic Tones,Copy,Real,Gallery,Calming,Dim Light,Lithograph,Interior Designers,2023-04-13
Vincent,Seascape,Modern,Mixed Media,"18""x24""",Yes,Miami,231,4,Standard,Earthy Tones,Copy,Print,Gallery,Relaxing,Bright Light,Lithograph,Families,2023-04-14
Olivia,Wildlife,Realism,Acrylic,"24""x36""",Yes,Toronto,683,3,Express,Cool Tones,Copy,Print,Bedroom,Energetic,Dim Light,Screen Print,Young Professionals,2023-04-15
Olivia,Fantasy,Cubism,Watercolor,"30""x40""",No,New York,505,8,Express,Earthy Tones,Copy,Real,Gallery,Energetic,Bright Light,,Young Professionals,2023-04-16
Frida,Abstract,Cubism,Watercolor,"24""x36""",Yes,Miami,179,8,Express,Warm Tones,Original,Real,Office,Joyful,Dim Light,Lithograph,Corporate Clients,2023-04-17
Liam,Seascape,Abstract Expressionism,Mixed Media,"24""x36""",No,Toronto,794,8,Standard,Cool Tones,Copy,Print,Gallery,Joyful,Dim Light,Lithograph,Interior Designers,2023-04-18
Pablo,Still Life,Cubism,Charcoal,"20""x30""",Yes,Montreal,459,6,Express,Neutral Tones,Copy,Print,Kid Room,Energetic,Natural Light,Fine Art Print,Corporate Clients,2023-04-19
Vincent,Seascape,Impressionism,Acrylic,"24""x36""",Yes,Montreal,344,3,Standard,Cool Tones,Copy,Real,Bedroom,Calming,Natural Light,Screen Print,Families,2023-04-20
Pablo,Landscape,Cubism,Oil,"18""x24""",Yes,Toronto,339,4,Express,Oceanic Tones,Original,Real,Living Room,Joyful,Natural Light,Giclée,Families,2023-04-21
Vincent,Landscape,Cubism,Mixed Media,"30""x40""",No,Vancouver,469,4,Express,Cool Tones,Original,Real,Living Room,Relaxing,Dim Light,Giclée,Young Professionals,2023-04-22
Olivia,Landscape,Abstract Expressionism,Acrylic,"18""x24""",Yes,Vancouver,734,10,Standard,Cool Tones,Original,Real,Kid Room,Relaxing,Dim Light,Screen Print,Families,2023-04-23
Olivia,Wildlife,Abstract Expressionism,Charcoal,"20""x30""",No,Los Angeles,179,6,Free Shipping,Earthy Tones,Original,Real,Office,Reflective,Dim Light,Lithograph,Interior Designers,2023-04-24
Olivia,Fantasy,Modern,Watercolor,"16""x20""",No,Toronto,231,9,Express,Oceanic Tones,Original,Print,Office,Relaxing,Bright Light,Screen Print,Young Professionals,2023-04-25
Jija,Fantasy,Surrealism,Watercolor,"20""x30""",No,Montreal,396,6,Standard,Neutral Tones,Original,Print,Kid Room,Energetic,Natural Light,Screen Print,Young Professionals,2023-04-26
Ava,Still Life,Abstract Expressionism,Oil,"18""x24""",Yes,Calgary,384,5,Free Shipping,Earthy Tones,Original,Print,Office,Joyful,Bright Light,,Young Professionals,2023-04-27
Leonardo,Wildlife,Realism,Charcoal,"30""x40""",Yes,Montreal,339,7,Standard,Neutral Tones,Copy,Print,Bedroom,Reflective,Dim Light,Screen Print,Interior Designers,2023-04-28
Leonardo,Fantasy,Abstract Expressionism,Oil,"16""x20""",No,Chicago,452,3,Express,Earthy Tones,Original,Print,Bedroom,Joyful,Dim Light,Giclée,Families,2023-04-29
Olivia,Seascape,Cubism,Acrylic,"24""x36""",No,Montreal,857,7,Free Shipping,Earthy Tones,Original,Real,Gallery,Relaxing,Natural Light,,Art Collectors,2023-04-30
Liam,Seascape,Cubism,Acrylic,"16""x20""",No,Chicago,348,7,Standard,Cool Tones,Original,Real,Office,Calming,Dim Light,Lithograph,Young Professionals,2023-05-01
Liam,Landscape,Realism,Oil,"30""x40""",Yes,Montreal,890,10,Free Shipping,Earthy Tones,Original,Real,Gallery,Calming,Natural Light,Screen Print,Corporate Clients,2023-05-02
Noah,Seascape,Impressionism,Watercolor,"30""x40""",Yes,Calgary,469,6,Standard,Warm Tones,Original,Print,Bedroom,Energetic,Natural Light,Giclée,Interior Designers,2023-05-03
Jija,Portrait,Cubism,Watercolor,"30""x40""",Yes,Montreal,528,7,Standard,Cool Tones,Copy,Real,Bedroom,Joyful,Natural Light,Lithograph,Corporate Clients,2023-05-04
Claude,Seascape,Realism,Charcoal,"20""x30""",No,Montreal,657,6,Express,Earthy Tones,Original,Real,Kid Room,Joyful,Natural Light,,Families,2023-05-05
Leonardo,Abstract,Surrealism,Oil,"24""x36""",Yes,Calgary,130,7,Standard,Warm Tones,Original,Print,Kid Room,Joyful,Natural Light,,Art Collectors,2023-05-06
Claude,Fantasy,Surrealism,Oil,"24""x36""",Yes,Montreal,368,10,Free Shipping,Warm Tones,Original,Print,Office,Joyful,Dim Light,Giclée,Art Collectors,2023-05-07
Jija,Portrait,Modern,Watercolor,"18""x24""",Yes,Montreal,413,7,Standard,Warm Tones,Copy,Print,Living Room,Relaxing,Dim Light,Screen Print,Families,2023-05-08
Noah,Wildlife,Impressionism,Mixed Media,"20""x30""",No,Los Angeles,890,6,Free Shipping,Warm Tones,Copy,Real,Bedroom,Reflective,Bright Light,Screen Print,Art Collectors,2023-05-09
Frida,Portrait,Abstract Expressionism,Acrylic,"16""x20""",Yes,Miami,149,5,Express,Warm Tones,Copy,Real,Living Room,Calming,Natural Light,,Corporate Clients,2023-05-10
Leonardo,Landscape,Cubism,Charcoal,"16""x20""",Yes,Los Angeles,404,10,Standard,Neutral Tones,Original,Real,Living Room,Joyful,Natural Light,,Families,2023-05-11
Olivia,Fantasy,Impressionism,Charcoal,"18""x24""",No,Calgary,149,3,Standard,Oceanic Tones,Original,Real,Living Room,Reflective,Natural Light,Lithograph,Young Professionals,2023-05-12
Emma,Landscape,Realism,Acrylic,"18""x24""",No,Chicago,704,7,Standard,Earthy Tones,Copy,Print,Bedroom,Joyful,Natural Light,Giclée,Corporate Clients,2023-05-13
Vincent,Fantasy,Realism,Acrylic,"18""x24""",Yes,Montreal,339,9,Express,Earthy Tones,Copy,Real,Kid Room,Reflective,Dim Light,Lithograph,Corporate Clients,2023-05-14
Pablo,Landscape,Impressionism,Oil,"24""x36""",Yes,Chicago,623,10,Express,Oceanic Tones,Original,Print,Living Room,Energetic,Bright Light,,Corporate Clients,2023-05-15
Pablo,Landscape,Cubism,Watercolor,"18""x24""",No,Los Angeles,891,9,Standard,Oceanic Tones,Original,Print,Living Room,Joyful,Natural Light,,Art Collectors,2023-05-16
Ava,Wildlife,Modern,Watercolor,"30""x40""",Yes,Calgary,683,5,Free Shipping,Earthy Tones,Original,Real,Kid Room,Joyful,Natural Light,,Young Professionals,2023-05-17
Vincent,Seascape,Realism,Charcoal,"24""x36""",Yes,Calgary,918,5,Express,Earthy Tones,Original,Print,Kid Room,Relaxing,Bright Light,Screen Print,Families,2023-05-18
Ava,Seascape,Impressionism,Oil,"20""x30""",No,Vancouver,715,7,Express,Warm Tones,Copy,Real,Living Room,Energetic,Natural Light,Lithograph,Interior Designers,2023-05-19
Vincent,Landscape,Modern,Oil,"24""x36""",No,Los Angeles,623,4,Express,Warm Tones,Copy,Print,Gallery,Reflective,Natural Light,Lithograph,Corporate Clients,2023-05-20
Emma,Fantasy,Realism,Mixed Media,"20""x30""",No,Calgary,179,3,Standard,Warm Tones,Original,Print,Gallery,Joyful,Natural Light,Lithograph,Corporate Clients,2023-05-21
Leonardo,Abstract,Abstract Expressionism,Watercolor,"16""x20""",Yes,New York,581,4,Express,Warm Tones,Copy,Real,Living Room,Relaxing,Bright Light,Screen Print,Corporate Clients,2023-05-22
Vincent,Seascape,Cubism,Mixed Media,"16""x20""",Yes,New York,212,6,Express,Earthy Tones,Copy,Print,Kid Room,Joyful,Bright Light,Lithograph,Young Professionals,2023-05-23
Frida,Seascape,Surrealism,Charcoal,"24""x36""",No,Calgary,231,10,Free Shipping,Cool Tones,Original,Print,Kid Room,Energetic,Dim Light,Screen Print,Young Professionals,2023-05-24
Leonardo,Abstract,Abstract Expressionism,Mixed Media,"24""x36""",No,Vancouver,459,10,Express,Cool Tones,Copy,Real,Gallery,Reflective,Natural Light,Screen Print,Families,2023-05-25
Leonardo,Seascape,Surrealism,Acrylic,"24""x36""",Yes,Montreal,197,3,Free Shipping,Neutral Tones,Original,Real,Bedroom,Reflective,Bright Light,Giclée,Families,2023-05-26
Jija,Wildlife,Impressionism,Watercolor,"16""x20""",Yes,Montreal,640,6,Standard,Warm Tones,Copy,Real,Office,Joyful,Dim Light,,Young Professionals,2023-05-27
Claude,Still Life,Cubism,Watercolor,"18""x24""",No,Vancouver,704,7,Express,Oceanic Tones,Copy,Print,Living Room,Calming,Natural Light,Giclée,Art Collectors,2023-05-28
Ava,Abstract,Modern,Oil,"18""x24""",No,Los Angeles,868,7,Express,Warm Tones,Copy,Print,Living Room,Calming,Dim Light,Giclée,Corporate Clients,2023-05-29
Emma,Wildlife,Modern,Acrylic,"30""x40""",No,Montreal,348,4,Express,Earthy Tones,Original,Real,Living Room,Energetic,Bright Light,Screen Print,Corporate Clients,2023-05-30
Ava,Fantasy,Impressionism,Watercolor,"20""x30""",No,Chicago,452,8,Free Shipping,Oceanic Tones,Copy,Print,Kid Room,Calming,Dim Light,Lithograph,Young Professionals,2023-05-31
Vincent,Seascape,Impressionism,Oil,"24""x36""",Yes,Toronto,715,4,Standard,Neutral Tones,Copy,Real,Living Room,Energetic,Natural Light,,Art Collectors,2023-06-01
Claude,Still Life,Modern,Charcoal,"16""x20""",Yes,Los Angeles,477,10,Standard,Warm Tones,Copy,Print,Office,Reflective,Dim Light,Lithograph,Families,2023-06-02
Claude,Still Life,Cubism,Watercolor,"30""x40""",No,Los Angeles,149,10,Free Shipping,Oceanic Tones,Copy,Print,Bedroom,Relaxing,Natural Light,,Families,2023-06-03
Leonardo,Seascape,Cubism,Acrylic,"30""x40""",No,Calgary,649,6,Standard,Neutral Tones,Copy,Real,Bedroom,Relaxing,Natural Light,Lithograph,Families,2023-06-04
Liam,Wildlife,Abstract Expressionism,Watercolor,"24""x36""",Yes,Chicago,197,4,Free Shipping,Oceanic Tones,Original,Real,Office,Relaxing,Natural Light,Giclée,Corporate Clients,2023-06-05
Emma,Wildlife,Cubism,Charcoal,"18""x24""",Yes,Vancouver,875,9,Standard,Neutral Tones,Original,Real,Bedroom,Joyful,Natural Light,Lithograph,Art Collectors,2023-06-06
Frida,Wildlife,Cubism,Charcoal,"30""x40""",No,Chicago,975,4,Express,Neutral Tones,Copy,Print,Bedroom,Calming,Bright Light,Screen Print,Families,2023-06-07
Pablo,Fantasy,Surrealism,Watercolor,"18""x24""",No,New York,290,4,Express,Oceanic Tones,Original,Real,Office,Joyful,Bright Light,Screen Print,Corporate Clients,2023-06-08
Jija,Portrait,Surrealism,Watercolor,"18""x24""",No,Montreal,272,3,Standard,Earthy Tones,Original,Real,Kid Room,Energetic,Dim Light,Screen Print,Families,2023-06-09
Pablo,Fantasy,Cubism,Watercolor,"24""x36""",No,Miami,225,5,Express,Neutral Tones,Original,Print,Living Room,Calming,Dim Light,,Young Professionals,2023-06-10
Claude,Still Life,Realism,Charcoal,"20""x30""",No,Los Angeles,938,4,Express,Neutral Tones,Original,Real,Kid Room,Energetic,Natural Light,Lithograph,Young Professionals,2023-06-11
Liam,Landscape,Modern,Oil,"16""x20""",No,Calgary,644,6,Standard,Oceanic Tones,Original,Real,Living Room,Reflective,Dim Light,Lithograph,Art Collectors,2023-06-12
Ava,Seascape,Modern,Watercolor,"30""x40""",Yes,Chicago,334,7,Express,Warm Tones,Copy,Real,Gallery,Joyful,Bright Light,,Families,2023-06-13
Jija,Portrait,Surrealism,Watercolor,"30""x40""",No,Montreal,623,3,Free Shipping,Warm Tones,Copy,Print,Office,Relaxing,Natural Light,Giclée,Young Professionals,2023-06-14
Liam,Abstract,Impressionism,Watercolor,"24""x36""",Yes,Calgary,222,5,Standard,Earthy Tones,Copy,Print,Office,Relaxing,Dim Light,,Art Collectors,2023-06-15
Liam,Still Life,Realism,Oil,"16""x20""",No,Montreal,308,4,Standard,Warm Tones,Original,Real,Office,Relaxing,Natural Light,Screen Print,Interior Designers,2023-06-16
Noah,Landscape,Abstract Expressionism,Oil,"20""x30""",Yes,Los Angeles,299,3,Standard,Earthy Tones,Copy,Print,Gallery,Joyful,Natural Light,Lithograph,Young Professionals,2023-06-17
Liam,Seascape,Abstract Expressionism,Mixed Media,"18""x24""",No,Toronto,290,4,Standard,Neutral Tones,Original,Real,Bedroom,Reflective,Natural Light,,Art Collectors,2023-06-18
Ava,Landscape,Modern,Acrylic,"16""x20""",Yes,Miami,272,6,Standard,Cool Tones,Original,Real,Gallery,Calming,Dim Light,Giclée,Families,2023-06-19
Emma,Wildlife,Impressionism,Charcoal,"18""x24""",Yes,Vancouver,891,7,Express,Warm Tones,Copy,Print,Gallery,Relaxing,Bright Light,Lithograph,Art Collectors,2023-06-20
Leonardo,Seascape,Realism,Mixed Media,"20""x30""",No,Toronto,368,10,Standard,Earthy Tones,Copy,Print,Bedroom,Calming,Natural Light,Lithograph,Interior Designers,2023-06-21
Jija,Seascape,Surrealism,Watercolor,"16""x20""",Yes,Montreal,161,6,Free Shipping,Earthy Tones,Copy,Real,Kid Room,Relaxing,Bright Light,Screen Print,Art Collectors,2023-06-22
Vincent,Wildlife,Realism,Acrylic,"24""x36""",Yes,Los Angeles,456,7,Express,Neutral Tones,Copy,Real,Office,Calming,Dim Light,,Young Professionals,2023-06-23
Claude,Portrait,Modern,Acrylic,"24""x36""",Yes,Los Angeles,875,3,Free Shipping,Neutral Tones,Copy,Real,Bedroom,Joyful,Natural Light,,Interior Designers,2023-06-24
Vincent,Portrait,Modern,Mixed Media,"16""x20""",Yes,Los Angeles,704,5,Express,Oceanic Tones,Copy,Print,Gallery,Energetic,Bright Light,Giclée,Interior Designers,2023-06-25
Liam,Portrait,Abstract Expressionism,Oil,"20""x30""",No,Montreal,452,3,Express,Cool Tones,Copy,Print,Living Room,Energetic,Natural Light,Lithograph,Art Collectors,2023-06-26
